cnj,locais
5004952-02.2025.8.13.0396,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5005376-49.2022.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5005547-25.2025.8.13.0194,~/Desktop/ANALISADOR FINAL/processos
5007127-08.2021.8.13.0105,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5007409-48.2020.8.13.0245,~/Desktop/ANALISADOR FINAL/processos
5008297-73.2025.8.13.0105,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5008504-19.2018.8.13.0105,~/Desktop/ANALISADOR FINAL/processos
5008789-02.2024.8.13.0105,~/Desktop/ANALISADOR FINAL/processos
5010234-65.2024.8.13.0134,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5011001-35.2020.8.13.0105,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5011972-13.2025.8.13.0471,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5013218-75.2025.8.13.0105,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5014017-55.2024.8.13.0105,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5015391-72.2025.8.13.0105,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5016125-49.2023.8.13.0701,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5017700-42.2020.8.13.0105,~/Desktop/ANALISADOR FINAL/processos
5018356-57.2024.8.13.0105,~/Desktop/ANALISADOR FINAL/processos
5018431-96.2024.8.13.0105,~/Desktop/ANALISADOR FINAL/processos
5022119-66.2024.8.13.0105,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5022941-21.2025.8.13.0105,~/Desktop/ANALISADOR FINAL/processos
5024581-59.2025.8.13.0105,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5027170-29.2022.8.13.0105,~/Desktop/ANALISADOR FINAL/processos
5030880-86.2024.8.13.0105,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5034347-39.2025.8.13.0105,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5035510-54.2025.8.13.0105,~/Desktop/ANALISADOR FINAL/processos
5035541-11.2024.8.13.0105,~/Desktop/ANALISADOR FINAL/processos
5039279-07.2024.8.13.0105,~/Desktop/ANALISADOR FINAL/processos
5065815-44.2023.8.13.0702,~/Desktop/ANALISADOR FINAL/processos
5202056-90.2021.8.13.0024,~/Desktop/ANALISADOR FINAL/processos
